Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_463.jpg;0;0;0;0.2888698;100.0843;86.217;0.06316463;56.66882;0.0002209707
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_529.jpg;0;0;0;0.2876131;100.0935;86.231;0.03364182;56.66882;0.0002658179
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_596.jpg;0;0;0;0.2866574;100.1057;86.24958;-0.004938144;56.66883;0.0003115443
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_663.jpg;0;0;0;0.2856913;100.1149;86.26349;359.9678;56.66883;0.0003347735
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_729.jpg;0;0;0;0.2843894;100.124;86.27738;359.9426;56.66882;0.0003492886
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_796.jpg;0;0;0;0.2834046;100.1362;86.29588;359.9133;56.66882;0.0003552686
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_863.jpg;0;0;0;0.2824144;100.1453;86.30976;359.895;56.66883;0.000350488
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_929.jpg;0;0;0;0.2810888;100.1544;86.32363;359.8799;56.66883;0.0003388521
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_03_996.jpg;0;0;0;0.2800928;100.1666;86.34212;359.8652;56.66883;0.0003143563
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_063.jpg;0;0;0;0.2790971;100.1757;86.356;359.858;56.66883;0.0002907308
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_129.jpg;0;0;0;0.2777728;100.1848;86.36986;359.854;56.66883;0.0002632799
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_196.jpg;0;0;0;0.2767838;100.197;86.38834;359.8532;56.66883;0.0002213182
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_262.jpg;0;0;0;0.2757997;100.2061;86.40218;359.8556;56.66882;0.0001886546
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_329.jpg;0;0;0;0.274497;100.2152;86.41602;359.8601;56.66882;0.0001541966
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_396.jpg;0;0;0;0.273528;100.2273;86.43441;359.8688;56.66883;0.0001082261
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_463.jpg;0;0;0;0.2725666;100.2363;86.44818;359.8769;56.66883;7.477206E-05
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_529.jpg;0;0;0;0.2712968;100.2454;86.46191;359.8858;56.66883;4.326239E-05
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_596.jpg;0;0.1005329;0;0.2703539;100.2569;86.47946;359.8792;56.66879;3.298375E-06
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_662.jpg;0;0.300828;0;0.2853507;100.2669;86.49471;359.9325;56.61601;-6.920241E-06
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_729.jpg;-1.49148;0.5002409;0;0.2980481;100.2777;86.51099;0.01154104;56.83498;-0.001778236
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_796.jpg;-4.488841;0.700065;0;0.3208279;100.2942;86.53471;0.1675476;56.73883;359.9831
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_862.jpg;-7.481566;0.89958;0;0.3485835;100.309;86.55512;0.344162;56.51613;359.9642
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_929.jpg;-10.49585;1;0;0.409767;100.3265;86.57838;0.5655279;56.24256;359.9546
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_04_996.jpg;-10.51398;1;0;0.4681094;100.3538;86.61244;0.8890088;55.42508;359.9554
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_05_062.jpg;-7.508474;1;0;0.5113091;100.3763;86.64133;1.153941;54.94524;359.9884
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_05_129.jpg;-4.506162;1;0;0.5699916;100.3997;86.67101;1.343205;54.53759;0.002028643
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_05_196.jpg;-1.506508;1;0;0.6271055;100.4291;86.70975;1.203298;54.33097;-0.0003658159
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_05_262.jpg;0;1;0;0.6857893;100.4528;86.74229;1.101205;54.36719;-0.0007032925
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_05_328.jpg;0;1;0;0.7625021;100.4794;86.77916;1.091978;54.30583;0.0004621889
/Users/Elias/Documents/Udacity/robotics/RoboND-Rover/training-data/IMG/robocam_2017_12_25_15_49_05_395.jpg;-1.511865;1;0;0.8086751;100.5184;86.83253;1.150076;54.2597;-0.001340748
